,list_date,description.year_built,description.baths_3qtr,description.sold_date,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.garage,description.stories,description.beds,location.address.state,location.address.city,basement,central_air,community_outdoor_space,dishwasher,fireplace,forced_air,hardwood_floors,laundry_room,recreation_facilities,shopping,washer_dryer,apartment,condos,duplex_triplex,land,mobile,multi_family,single_family,townhomes,interest_rate
572,1700255311.0,1960.0,0.0,1703203200.0,2.0,0.0,7148.0,1363.0,2.0,0.0,1.0,3.0,447795.6153846154,457283.7916666667,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.33
6127,1688065682.0,2016.0,0.0,1704844800.0,2.0,0.0,6098.0,1884.0,2.0,2.0,1.0,4.0,431431.53153153154,431431.53153153154,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.07
1475,1700002055.0,1994.0,0.0,1702598400.0,1.0,1.0,2008.0,1260.0,2.0,1.0,2.0,3.0,319652.11023622047,319652.11023622047,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.33
2660,1687898679.0,1925.0,0.0,1701820800.0,1.0,0.0,4704.0,1071.0,1.0,0.0,1.0,3.0,238092.4406779661,240520.9391304348,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.07
3435,1701062107.0,1983.0,0.0,1703635200.0,1.0,1.0,1216.0,1086.0,2.0,0.0,3.0,1.0,546702.2359550562,546702.2359550562,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5.33
5899,1698391603.0,2016.0,0.0,1705017600.0,2.0,0.0,6094.0,1729.0,2.0,2.0,1.0,3.0,283243.6614173228,420031.25,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.33
1003,1694715266.0,1949.0,0.0,1702598400.0,1.0,0.0,5500.0,790.0,1.0,0.0,1.0,2.0,570285.0,570285.0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5.33
3504,1695913660.0,1960.0,0.0,1704758400.0,2.0,0.0,8470.0,1690.0,2.0,0.0,4.0,4.0,546702.2359550562,546702.2359550562,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5.33
3707,1701282084.0,1979.0,0.0,1705017600.0,1.0,0.0,13939.0,1028.0,1.0,0.0,1.0,3.0,175455.03875968992,175455.03875968992,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.33
3708,1701184173.0,1984.0,0.0,1705017600.0,2.0,0.0,9540.0,1604.027027027027,2.0,0.0,1.0,4.0,175455.03875968992,175455.03875968992,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.33
